BETA_2,SE_2,var_2,MAF_2
-0.00311543,0.00368454,1.35758350116e-05,0.00192758
0.00150201,0.00162316,2.6346483856e-06,0.00984416
-0.00266466,0.00371688,1.38151969344e-05,0.00185655
-0.000235599,0.000359335,1.29121642225e-07,0.728183
-0.000804737,0.00373312,1.39361849344e-05,0.00182583
0.0016998,0.00162206,2.6310786436e-06,0.00985929
-0.000300682,0.00547066,2.99281208356e-05,0.000818381
-0.00319941,0.00366857,1.34584058449e-05,0.00194295
-0.000108813,0.00163275,2.6658725625e-06,0.00953767
-0.00102424,0.00285419,8.1464005561e-06,0.00312307
0.00109897,0.000419279,1.75794879841e-07,0.175115
-0.000154367,0.000406413,1.65171526569e-07,0.189418
-0.000496976,0.0003359,1.1282881e-07,0.348824
-0.000112333,0.000355362,1.26282151044e-07,0.71879
-5.47533e-05,0.00153574,2.3584973476e-06,0.0108696
0.0010809,0.000419058,1.75609607364e-07,0.175315
-0.00311544,0.0036846,1.357627716e-05,0.00192753
0.00259655,0.00298256,8.8956641536e-06,0.00281664
0.00107546,0.000419031,1.75586978961e-07,0.175361
-0.00438017,0.00471769,2.22565989361e-05,0.00115834
0.00276381,0.00527276,2.78019980176e-05,0.000910185
0.00386531,0.00219329,4.8105210241e-06,0.00536284
-0.0017399,0.00676539,4.57705018521e-05,0.000557138
-0.0069682,0.00482438,2.32746423844e-05,0.00108272
0.00107608,0.000419034,1.75589493156e-07,0.175335
-0.000293417,0.000489784,2.39888366656e-07,0.122088
-0.000393823,0.00323687,1.04773273969e-05,0.00245372
-0.000474454,0.000335855,1.12798581025e-07,0.348602
-0.000477986,0.000335859,1.12801267881e-07,0.348623
-0.00109568,0.000642951,4.13385988401e-07,0.0667029
0.00176003,0.00185452,3.4392444304e-06,0.00738939
0.00192572,0.00235537,5.5477678369e-06,0.00457279
-0.000918708,0.00257299,6.6202775401e-06,0.0039054
-0.00135036,0.0019235,3.69985225e-06,0.00683326
-0.00194336,0.00317447,1.00772597809e-05,0.00262406
0.000581418,0.000874872,7.65401016384e-07,0.0350392
-0.000474844,0.000335912,1.12836871744e-07,0.348586
0.00196152,0.0024423,5.96482929e-06,0.00440127
0.00181568,0.006862,4.7087044e-05,0.000510346
-4.56581e-05,0.00166668,2.7778222224e-06,0.00925754
-0.000161202,0.000406505,1.65246315025e-07,0.189275
-0.000200019,0.000404885,1.63931863225e-07,0.191264
0.000113968,0.00117129,1.3719202641e-06,0.0187012
-0.000287576,0.0012435,1.54629225e-06,0.016718
0.000577231,0.000319653,1.02178040409e-07,0.541362
0.000558632,0.000319492,1.02075138064e-07,0.540718
-0.00604912,0.00452929,2.05144679041e-05,0.00129886
0.00591532,0.00486008,2.36203776064e-05,0.00111121
-0.00016861,0.00040666,1.653723556e-07,0.189175
0.00107529,0.000419076,1.75624693776e-07,0.175299
-0.000505876,0.000336898,1.13500262404e-07,0.348485
-0.000507952,0.000336888,1.13493524544e-07,0.348479
-0.000107729,0.000355408,1.26314846464e-07,0.718731
0.000121723,0.00168128,2.8267024384e-06,0.00911165
0.000589493,0.00032042,1.026689764e-07,0.541499
-0.00262093,0.00379689,1.44163736721e-05,0.00177019
0.0018876,0.00163679,2.6790815041e-06,0.00947786
0.00112133,0.000418335,1.75004172225e-07,0.175599
-0.000456909,0.000337229,1.13723398441e-07,0.347809
0.000517363,0.00616036,3.79500353296e-05,0.000664729
-0.000505625,0.000336569,1.13278691761e-07,0.348948
0.000520981,0.00100784,1.0157414656e-06,0.0264831
0.000599088,0.000321187,1.03161088969e-07,0.540154
0.000599218,0.000321195,1.03166228025e-07,0.540156
-0.000245319,0.00083029,6.893814841e-07,0.0397965
0.000541624,0.00143152,2.0492495104e-06,0.0126268
0.00121118,0.000424487,1.80189213169e-07,0.168789
0.00112119,0.000418212,1.74901276944e-07,0.175509
-0.000217419,0.000406737,1.65434987169e-07,0.190168
-0.00330148,0.00365282,1.33430939524e-05,0.00195831
-6.39194e-05,0.000643646,4.14280173316e-07,0.93368
-0.000295859,0.000409105,1.67366901025e-07,0.187579
-0.000306032,0.00040922,1.674610084e-07,0.187399
-0.0123048,0.00601493,3.61793829049e-05,0.000694659
-0.00725028,0.00563648,3.17699067904e-05,0.000804008
-0.0032191,0.00366858,1.34584792164e-05,0.00194295
-0.00317764,0.00357742,1.27979338564e-05,0.00203515
-0.00206931,0.00328066,1.07627300356e-05,0.00246971
-0.00140934,0.000842921,7.10515812241e-07,0.0367066
-0.00304298,0.00296358,8.7828064164e-06,0.997057
-0.000234774,0.000321598,1.03425273604e-07,0.526635
-0.00321901,0.00366864,1.34589194496e-05,0.00194289
0.00111668,0.000418473,1.75119651729e-07,0.175396
-0.00023067,0.000408833,1.67144421889e-07,0.187965
0.00118496,0.000425247,1.80835011009e-07,0.168558
0.00232133,0.00270366,7.3097773956e-06,0.00353581
0.00123092,0.00405103,1.64108440609e-05,0.00156235
0.00070163,0.00192785,3.7166056225e-06,0.00693262
-0.00386714,0.00261517,6.8391141289e-06,0.00366295
-0.000383433,0.00199914,3.9965607396e-06,0.00640787
0.000840091,0.00133201,1.7742506401e-06,0.0146535
-0.000134927,0.000355678,1.26506839684e-07,0.718079
-0.00332871,0.00805288,6.48488762944e-05,0.000371218
-0.00878294,0.00501225,2.51226500625e-05,0.00098799
-0.000501788,0.000337374,1.13821215876e-07,0.348867
-0.00119203,0.000640479,4.10213349441e-07,0.0670089
0.00115538,0.000418012,1.74734032144e-07,0.176021
-0.00116774,0.000639811,4.09358115721e-07,0.0671484
-0.00361912,0.00356286,1.26939713796e-05,0.00205051
0.0022698,0.00147224,2.1674906176e-06,0.0119767
0.00131828,0.00658489,4.33607763121e-05,0.000556053
-0.00656922,0.0047171,2.225103241e-05,0.00117454
-0.00339963,0.00366854,1.34581857316e-05,0.00194295
-0.00284228,0.00452599,2.04845854801e-05,0.00119343
0.00132408,0.00547097,2.99315127409e-05,0.000848687
-0.000219333,0.000409463,1.67659948369e-07,0.187492
-0.00171419,0.00256059,6.5566211481e-06,0.00390746
0.00128311,0.00143147,2.0491063609e-06,0.0125866
0.00131698,0.00110199,1.2143819601e-06,0.0214918
-0.00023641,0.000494664,2.44692472896e-07,0.120108
-0.000249323,0.00147568,2.1776314624e-06,0.0119522
-0.00174606,0.00238584,5.6922325056e-06,0.00456919
-0.00176649,0.00314681,9.9024131761e-06,0.00255157
0.00116248,0.000419133,1.75672471689e-07,0.175076
-4.29753e-05,0.000356353,1.26987460609e-07,0.719128
0.00225653,0.00242004,5.8565936016e-06,0.00431008
0.000440168,0.00031992,1.023488064e-07,0.527551
-0.000204018,0.000916377,8.39746806129e-07,0.0316253
0.000133495,0.000917194,8.41244833636e-07,0.0314514
-0.000402959,0.000383596,1.47145891216e-07,0.223337
-0.00160187,0.00252461,6.3736556521e-06,0.00402464
-0.00041386,0.00104433,1.0906251489e-06,0.0239364
-0.000485182,0.000383186,1.46831510596e-07,0.224469
-0.00066679,0.000409677,1.67835244329e-07,0.811734
5.31521e-05,0.00370033,1.36924421089e-05,0.00185197
0.00376407,0.00231896,5.3775754816e-06,0.00482526
-0.000515288,0.000383088,1.46756415744e-07,0.224598
-0.000544447,0.00038198,1.459087204e-07,0.226462
-7.79016e-05,0.000491005,2.41085910025e-07,0.880577
-0.00119312,0.00616368,3.79909511424e-05,0.000679348
0.001234,0.000416768,1.73695565824e-07,0.177338
-0.000493356,0.000383229,1.46864466441e-07,0.224332
-8.78354e-05,0.000379362,1.43915527044e-07,0.768315
-0.00371629,0.00357747,1.27982916009e-05,0.00203522
0.00198891,0.00148358,2.2010096164e-06,0.0119092
-0.00371629,0.00357747,1.27982916009e-05,0.00203522
-0.002701,0.00398878,1.59103658884e-05,0.00154512
-0.000490192,0.000383415,1.47007062225e-07,0.224183
0.000480807,0.000325497,1.05948297009e-07,0.418835
0.00120254,0.000416371,1.73364809641e-07,0.177657
-0.00371629,0.00357747,1.27982916009e-05,0.00203522
